epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,10286.2,0.72853,0.35181,0.84383,0.97268,0.77329,0.79465,0.48005,0.7637,0.35387,0.86061,0.000208,0.000208,0.000208
82,10409.4,0.72911,0.36683,0.8399,0.98259,0.77849,0.85806,0.51183,0.75869,0.35573,0.85867,0.0001981,0.0001981,0.0001981
83,10535.1,0.71636,0.3508,0.83796,0.97995,0.77959,0.81137,0.49991,0.75278,0.35103,0.85912,0.0001882,0.0001882,0.0001882
84,10658.8,0.70955,0.34481,0.84098,0.98569,0.78066,0.85843,0.51644,0.75121,0.34786,0.85909,0.0001783,0.0001783,0.0001783
85,10781.7,0.73286,0.35239,0.84398,0.98033,0.77754,0.82787,0.50787,0.75349,0.34661,0.85811,0.0001684,0.0001684,0.0001684
86,10904.5,0.7173,0.34612,0.84201,0.97734,0.77614,0.84099,0.49865,0.76874,0.35269,0.86084,0.0001585,0.0001585,0.0001585
87,11026.7,0.73163,0.35423,0.84279,0.78157,0.90467,0.84536,0.51291,0.75471,0.35045,0.85786,0.0001486,0.0001486,0.0001486
88,11149.1,0.72926,0.35399,0.84057,0.9838,0.782,0.83309,0.50112,0.75276,0.35291,0.85731,0.0001387,0.0001387,0.0001387
89,11272,0.71587,0.33986,0.84317,0.97895,0.77846,0.82825,0.49383,0.75648,0.34984,0.85905,0.0001288,0.0001288,0.0001288
90,11403.1,0.69559,0.33895,0.83644,0.98303,0.78062,0.8532,0.50236,0.75827,0.34777,0.85855,0.0001189,0.0001189,0.0001189
91,11523.7,0.72467,0.33756,0.83684,0.97761,0.77437,0.8299,0.49333,0.76045,0.35128,0.85969,0.000109,0.000109,0.000109
92,11643.7,0.72078,0.3339,0.84418,0.75917,0.87348,0.83637,0.4985,0.75124,0.35293,0.85813,9.91e-05,9.91e-05,9.91e-05
93,11764.3,0.7138,0.33497,0.84254,0.98043,0.77519,0.89615,0.50958,0.75712,0.35222,0.85784,8.92e-05,8.92e-05,8.92e-05
94,11884.6,0.70859,0.33343,0.84381,0.97972,0.77698,0.85459,0.50418,0.74735,0.34458,0.85728,7.93e-05,7.93e-05,7.93e-05
95,12004.3,0.72264,0.33646,0.84083,0.97912,0.77364,0.86033,0.50543,0.75338,0.34582,0.85741,6.94e-05,6.94e-05,6.94e-05
96,12124,0.7005,0.32616,0.83648,0.76444,0.87409,0.8574,0.51078,0.75632,0.34403,0.8581,5.95e-05,5.95e-05,5.95e-05
97,12244,0.70445,0.3271,0.83873,0.80212,0.88756,0.8707,0.51397,0.74824,0.34014,0.85708,4.96e-05,4.96e-05,4.96e-05
98,12364,0.6985,0.32602,0.83835,0.83387,0.93302,0.87019,0.50142,0.75197,0.34063,0.85763,3.97e-05,3.97e-05,3.97e-05
99,12487.2,0.69817,0.3211,0.83373,0.83179,0.94191,0.87114,0.50746,0.75078,0.34015,0.85799,2.98e-05,2.98e-05,2.98e-05
100,12610.1,0.69718,0.3212,0.83864,0.82105,0.95709,0.95296,0.50977,0.75263,0.34001,0.8586,1.99e-05,1.99e-05,1.99e-05
